name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ethics,0.0,0.0,0.03333333333333333,0.025,0.02,0.016666666666666666,0.014285714285714287,0.0125,0.02345679012345679,0.021111111111111112,0.01919191919191919,0.023544973544973546,0.021733821733821733,0.02018140589569161,0.018835978835978835,0.01765873015873016,0.022222222222222223,0.020987654320987655,0.024269005847953214,0.023055555555555555,0.025925925925925925,0.027588383838383836,0.028459282263630085,0.03462642001244942,0.03875860459126179,0.04912897496163216,0.05086810539641477,0.05456041308872247,0.057523376051685435,0.057523376051685435,0.060281996741340604,0.061710568169912036,0.06558153591184751,0.06534761778319254,0.07249047492604968,0.07589473024519862,0.08192647627694465,0.0887836191340875,0.0983836191340875,0.1071336191340875,0.11380028580075416,0.11874076199123033,0.1217037249541933,0.12477039162085997,0.13143705828752664,0.13610372495419332,0.14027039162085997,0.1401047601508807,0.14804593662146892,0.15692869524215858,0.15608213439559776,0.16234300396081516,0.15687291849072968,0.1589099555277667,0.16290995552776671,0.17348466817144487,0.17440903791934403,0.17976883940817778,0.1818741025660725,0.1775883882803582,0.17418413296120927,0.16529524407232035
Feminist Studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033816425120772944,0.06712962962962964,0.10444444444444445,0.13333333333333333,0.17333333333333337,0.17333333333333337,0.21333333333333335,0.25000000000000006,0.29000000000000004,0.3266666666666667,0.3666666666666667,0.3974358974358975,0.4374358974358975,0.4754358974358975,0.5154358974358975,0.5554358974358975,0.5954358974358975,0.6309914529914531,0.670991452991453,0.70791452991453,0.74791452991453,0.7825811965811966,0.8189448329448331,0.858944832944833,0.89586790986791,0.9047567987567988,0.9068080808080807,0.9023636363636365,0.9094747474747474,0.9071218062982769,0.9471218062982768,0.9442646634411339,0.9475979967744673,0.9475979967744672,0.9509313301078006,0.9395027586792293,0.9437335279099986,0.9037335279099986,0.8657335279099986,0.8257335279099984
Harvard Law Review,0.0,0.0,0.0,0.007352941176470589,0.011287758346581878,0.00940646528881823,0.013353689824278061,0.011684478596243303,0.010386203196660714,0.009347582876994642,0.012285681403328462,0.020877259235102374,0.019271316217017574,0.01789479363008775,0.018924029610304118,0.017741277759660112,0.016697673185562457,0.015770024675253434,0.014940023376555884,0.01611609913080501,0.015348665838861917,0.014650999209822739,0.01401399924417827,0.013430082609004176,0.012892879304644009,0.012892879304644009,0.012892879304644009,0.012892879304644009,0.013716408716408715,0.015301994301994304,0.01704112473677691,0.015559643255295429,0.020359643255295427,0.022098773690078035,0.022098773690078035,0.024068470659775007,0.021675308266612615,0.0281617947530991,0.0381617947530991,0.04254274713405148,0.04787608046738481,0.052676080467384805,0.06722153501283935,0.06944375723506158,0.07790529569660004,0.08552434331564766,0.08996878776009211,0.09552434331564767,0.1024208950397856,0.11332998594887651,0.12423907685796742,0.13600378274032035,0.14021430905610982,0.14654764238944318,0.14933552117732193,0.15239639074253936,0.15239639074253936,0.14759639074253936,0.14585726030775673,0.14585726030775673,0.1422208966713931,0.13999867444917086
Hypatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03733333333333333,0.07187878787878788,0.10666139657444004,0.1407354706485141,0.1732354706485141,0.2054576928707363,0.2433524297128416,0.2753524297128416,0.3078524297128416,0.3439814619709061,0.37702494023177563,0.4144442950704853,0.45444429507048534,0.4925395331657234,0.5279241485503389,0.5622098628360531,0.593177604771537,0.628177604771537,0.662251678845611,0.6953551271214731,0.7335369453032912,0.7695369453032912,0.8059005816669276,0.8390040299427897,0.8730781040168637,0.8630174979562578
Inquiry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.01406926406926407,0.015955004591368227,0.022933943010669356,0.02614502871855813,0.027599227569815806,0.03221461218520042,0.03792889789948614,0.04292889789948614,0.04992889789948614,0.05710838507897332,0.06531351328410152,0.07293256090314915,0.07944418881012588,0.09372990309584017,0.10372990309584017,0.11328214190181031,0.11971071333038173,0.13061980423947264,0.14395313757280598,0.15687621449588293,0.17230478592445436,0.18617145259112103,0.19778435581692747,0.20643300446557614,0.2072804620926948,0.217041227642934,0.22913999307503277,0.2399383124027638,0.25371609018054164,0.2684312800539594,0.2763532088714106,0.28005068786300724,0.2846159052543116,0.2916159052543115,0.2977697514081577,0.3088503374887437,0.31299599575204906,0.31981770117840563,0.3263653202260247,0.32673569059639507,0.3228977375047106,0.3164691660761392
International Journal for Philosophy of Religion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.014666666666666668,0.014666666666666668,0.014666666666666668,0.020380952380952378,0.020380952380952378,0.020380952380952378,0.020380952380952378,0.020380952380952378,0.020380952380952378,0.020380952380952378,0.020380952380952378,0.03371428571428571,0.03371428571428571,0.05371428571428571,0.05371428571428571,0.047047619047619046,0.047047619047619046,0.0514920634920635,0.0514920634920635
Isis,0.125,0.09821428571428571,0.12999231950844856,0.10999423963133641,0.09852170749454281,0.122101422912119,0.10465836249610201,0.09752844813647021,0.09727396448109521,0.10572838621480388,0.10681190190650619,0.09791091008096402,0.09037930161319754,0.08732499775647255,0.0815033312393744,0.08161770637024682,0.0838754883484676,0.08491374469378066,0.08796339722869445,0.08356522736725973,0.08459846215428245,0.08877446788523752,0.08491470841196633,0.08778685197172414,0.08760871122618852,0.08260871122618851,0.07975156836904565,0.07633395720949901,0.07587241874796055,0.07576715559006582,0.07283382225673248,0.07727826670117692,0.07981794924085947,0.08267509209800233,0.08240236482527505,0.0853155300913815,0.09064886342471484,0.09598219675804817,0.0974107681866196,0.10341076818661961,0.10189561667146808,0.10551666930304701,0.11141410520048294,0.11833139843356562,0.12404568414785133,0.1282562104636408,0.13453072026756238,0.15253072026756237,0.1623768741137162,0.16793242966927177,0.17459909633593845,0.19306063479747693,0.2087363104731526,0.22497562671246882,0.2396422933791355,0.23929141618615307,0.2558996033206559,0.2694551588762115,0.2769061392683684,0.278477567839797,0.2708585202207493,0.265525186887416
Journal of Medical Ethics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.04933333333333333,0.04933333333333333,0.05600000000000001,0.06266666666666668,0.06266666666666668,0.07600000000000001,0.07600000000000001,0.08600000000000002,0.09100000000000001,0.09766666666666668,0.10623809523809526,0.11423809523809526,0.12623809523809526,0.16623809523809527,0.17157142857142862,0.19061904761904766,0.20441215106732355,0.2122382380238453,0.22290490469051197,0.2285570786035554,0.22855707860355537,0.24255707860355538,0.25969993574641254,0.2873922434387202,0.2873922434387202,0.305170021216498,0.3174777135241903,0.3508110468575236,0.3441443801908569,0.3441443801908569,0.33081104685752366
Journal of Nietzsche Studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.07,0.11,0.11,0.11,0.11
Journal of Philosophical Logic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005797101449275362,0.00876068376068376,0.011267399267399267,0.011267399267399267,0.01597328162034044,0.01597328162034044,0.01597328162034044,0.01597328162034044,0.01597328162034044,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.0221271277741866,0.028793794440853265,0.028793794440853265,0.028793794440853265,0.028793794440853265,0.03146046110751993,0.03146046110751993,0.03381340228399052,0.028480068950657186,0.025403145873734108,0.02254600301659125,0.027879336349924583,0.023173453996983406,0.030232277526395172,0.03444280384218465,0.036260985660366465,0.04549175489113569,0.0421950515944324,0.050195051594432404,0.05230031475232714,0.05230031475232714,0.05801460046661285,0.05801460046661285
